count,date_min,date_max,naturalidade,normalizada
8784,1537-02-12,1916-07-19,Lisboa,Lisboa
5526,1537-00-00,1915-10-12,Coimbra,Coimbra
3391,1537-05-30,1917-10-22,Porto,Porto
1608,1540-01-21,1914-07-24,Braga,Braga
1072,1537-11-22,1910-10-10,Évora,Évora
986,1537-00-00,1912-07-03,Viseu,Viseu
980,1537-12-18,1912-07-18,Guimarães,Guimarães
972,1537-00-00,1909-10-05,Lamego,Lamego
790,1538-04-21,1913-10-13,Aveiro,Aveiro
765,1537-03-07,1909-11-09,Vila Real,Vila Real
728,1537-01-29,1909-10-04,Santarém,Santarém
668,1537-00-00,1910-10-15,Leiria,Leiria
569,1537-01-16,1890-10-16,Ilha da Madeira,Ilha da Madeira
542,1538-10-18,1912-10-12,Portalegre,Portalegre
538,1537-12-18,1910-10-13,Castelo Branco,Castelo Branco
531,1537-01-18,1912-06-17,Tomar,Tomar
527,1538-00-00,1912-06-26,Barcelos,Barcelos
500,1537-12-18,1909-10-14,Beja,Beja
495,1593-10-01,1892-10-28,"Baía, Brasil","Salvador, Brasil"
494,1555-10-00,1844-10-19,Viana,Viana do Castelo
475,1538-10-11,1913-10-13,Guarda,Guarda
448,1537-12-28,1909-10-09,Elvas,Elvas
430,1538-11-22,1910-10-15,Abrantes,Abrantes
426,1540-00-00,1910-10-11,Montemor-o-Velho,Montemor-o-Velho
425,1537-12-18,1905-10-03,Setúbal,Setúbal
415,1608-10-08,1908-10-03,"Rio de Janeiro, Brasil","Rio de Janeiro, Brasil"
397,1537-04-29,1912-11-06,Ponte de Lima,Ponte de Lima
393,1538-10-16,1912-08-01,Covilhã,Covilhã
391,1570-10-01,1893-10-21,Baía,"Salvador, Brasil"
376,1538-05-26,1912-07-29,Bragança,Bragança
360,1537-00-00,1913-07-16,Torres Novas,Torres Novas
359,1549-00-00,1913-07-19,Soure,Soure
343,1549-00-00,1912-07-25,Faro,Faro
330,1537-09-22,1911-08-15,Amarante,Amarante
312,1538-07-11,1909-11-18,Chaves,Chaves
305,1552-10-00,1912-06-24,Águeda,Águeda
296,1558-10-01,1910-10-24,Rio de Janeiro,"Rio de Janeiro, Brasil"
296,1537-12-18,1912-07-12,Vila do Conde,Vila do Conde
294,1537-02-19,1899-10-12,Castelo de Vide,Castelo de Vide
288,1551-02-12,1913-07-12,Estremoz,Estremoz
288,1537-12-18,1908-10-02,Vila Viçosa,Vila Viçosa
276,1551-12-11,1908-10-13,Lousã,Lousã
269,1540-01-16,1907-12-10,Trancoso,Trancoso
265,1540-01-13,1909-10-15,Tentúgal,Tentúgal
248,1581-11-07,1905-10-07,Arcos de Valdevez,Arcos de Valdevez
248,1538-11-22,1903-10-03,Moura,Moura
243,1537-02-21,1878-10-15,Ourém,Ourém
241,1561-11-01,1909-10-02,Sertã,Sertã
240,1538-01-11,1913-08-09,Pombal,Pombal
236,1538-10-01,1912-06-19,Serpa,Serpa
235,1537-00-00,1910-10-11,Montemor-o-Novo,Montemor-o-Novo
229,1538-00-00,1910-10-10,Pinhel,Pinhel
226,1551-10-00,1842-10-05,Basto,Basto
226,1540-07-06,1909-10-12,Cantanhede,Cantanhede
221,1537-00-00,1909-10-12,Penela,Penela
212,1537-12-18,1909-10-26,Viana do Castelo,Viana do Castelo
209,1538-00-00,1913-10-20,Tavira,Tavira
207,1540-01-31,1908-10-08,Gouveia,Gouveia
206,1576-03-10,1908-10-15,Espinhal,Espinhal
203,1588-11-21,1912-07-08,Ovar,Ovar
203,1540-10-13,1876-10-15,Torre de Moncorvo,Torre de Moncorvo
202,1540-10-20,1770-10-01,Arrifana de Sousa,Penafiel
201,1538-04-19,1895-10-28,Torres Vedras,Torres Vedras
197,1540-07-07,1909-10-05,São Pedro do Sul,São Pedro do Sul
193,1538-05-07,1906-10-01,Alcobaça,Alcobaça
187,1538-00-00,1888-12-03,Ilha de São Miguel,Ilha de São Miguel
184,1549-01-01,1907-10-01,Sardoal,Sardoal
182,1537-10-01,1903-10-07,Óbidos,Óbidos
174,1540-10-11,1906-10-02,Monção,Monção
170,1577-02-01,1910-10-13,Campo Maior,Campo Maior
166,1586-11-04,1913-07-23,Ansião,Ansião
162,1603-10-20,1908-10-06,Miranda do Corvo,Miranda do Corvo
162,1537-04-23,1906-10-15,Nisa,Nisa
161,1537-12-18,1905-10-07,Pereira,Pereira
160,1537-00-00,1909-10-18,Buarcos,Buarcos
160,1568-11-18,1911-06-26,Fundão,Fundão
159,1540-01-31,1908-10-02,Arganil,Arganil
159,1549-10-01,1909-10-02,Góis,Góis
158,1550-00-00,1910-10-15,Penamacor,Penamacor
157,1566-03-02,1907-10-03,Eiras,Eiras
155,1579-10-02,1913-07-21,Condeixa-a-Nova,Condeixa-a-Nova
153,1682-10-01,1913-07-11,Figueira da Foz,Figueira da Foz
151,1552-02-00,1907-10-01,Caminha,Caminha
150,1537-02-07,1910-10-31,Lagos,Lagos
148,1540-10-11,1900-10-11,Alenquer,Alenquer
146,1567-11-03,1908-10-12,Alpedrinha,Alpedrinha
143,1537-00-00,1901-10-10,Arouca,Arouca
141,1573-07-03,1907-10-03,Tondela,Tondela
140,1538-05-06,1909-10-02,Seia,Seia
137,1588-10-07,1905-10-12,Ançã,Ançã
136,1563-10-01,1912-08-13,Figueiró dos Vinhos,Figueiró dos Vinhos
136,1611-02-09,1858-10-13,Pernambuco,Pernambuco
136,1537-05-22,1909-10-02,Santa Comba Dão,Santa Comba Dão
136,1536-10-00,1903-10-07,Vouzela,Vouzela
135,1537-05-23,1838-10-23,Condeixa,Condeixa
135,1545-04-30,1909-10-12,Poiares,Poiares
135,1550-10-10,1894-10-15,Redinha,Redinha
134,1537-00-00,1829-06-30,Olivença,Olivença
133,1540-10-09,1909-10-06,Chamusca,Chamusca
132,1588-10-07,1861-10-03,Mortágua,Mortágua
132,1558-10-00,1907-10-04,Penacova,Penacova
131,1540-01-22,1898-10-12,Fronteira,Fronteira
127,1550-07-09,1905-10-03,Porto de Mós,Porto de Mós
126,1551-02-05,1907-10-08,Borba,Borba
125,1556-10-01,1896-10-12,Linhares,Linhares
125,1574-10-12,1912-08-12,"Pernambuco, Brasil","Pernambuco, Brasil"
125,1581-11-17,1886-10-15,Verride,Verride
124,1538-10-01,1820-11-24,Celorico,Celorico
124,1564-02-26,1888-10-29,Maiorca,Maiorca
123,1553-07-12,1910-10-13,Idanha-a-Nova,Idanha-a-Nova
116,1556-10-01,1912-10-16,Loulé,Loulé
113,1538-04-22,1858-06-26,Ilha Terceira,Ilha Terceira
111,1538-10-16,1885-10-09,Besteiros,Besteiros
110,1671-05-20,1908-10-15,Peso da Régua,Peso da Régua
109,1551-02-12,1827-10-10,"Punhete, hoje Constância",Constância
108,1566-10-00,1891-11-03,Beco,Beco
108,1537-02-01,1910-08-05,"Ilha de São Miguel, Açores","Ilha de São Miguel, Açores"
107,1588-10-18,1910-10-12,Manteigas,Manteigas
107,1537-03-17,1900-10-03,São João da Pesqueira,São João da Pesqueira
104,1547-00-00,1904-10-15,Arraiolos,Arraiolos
104,1537-11-30,1909-10-07,Melo,Melo
103,1697-12-21,1912-10-24,Funchal,Funchal
103,1550-01-04,1872-10-02,Taveiro,Taveiro
103,1540-01-12,1916-10-09,Valença do Minho,Valença do Minho
101,1570-10-01,1905-10-13,Ponte da Barca,Ponte da Barca
100,1537-12-20,1899-10-02,Alvaiázere,Alvaiázere
100,1595-10-01,1909-10-04,São Martinho do Bispo,São Martinho do Bispo
100,1600-10-05,1910-10-10,Vila Nova de Cerveira,Vila Nova de Cerveira
100,1587-10-20,1912-06-17,Vila Nova de Gaia,Vila Nova de Gaia
99,1542-06-17,1912-07-24,Mirandela,Mirandela
99,1552-05-00,1901-10-14,Pedrogão Grande,Pedrogão Grande
99,1585-10-02,1769-10-01,Terra da Feira,Terra da Feira
98,1540-00-00,1908-10-07,Cernache,Cernache
98,1537-07-11,1907-10-12,Crato,Crato
97,1538-00-00,1913-07-07,Mesão Frio,Mesão Frio
96,1537-00-00,1906-10-08,Golegã,Golegã
96,1579-01-00,1820-11-14,Vila Nova de Anços,Vila Nova de Anços
95,1540-02-07,1903-10-14,Almeida,Almeida
95,1586-03-20,1908-10-08,Resende,Resende
94,1580-03-11,1847-10-23,Lorvão,Lorvão
94,1571-12-10,1910-10-13,Monforte,Monforte
93,1552-07-00,1908-10-02,Avis,Avis
93,1540-10-06,1905-10-07,Fonte Arcada,Fonte Arcada
93,1567-03-03,1913-10-09,Lobão,Lobão
91,1556-02-01,1908-10-02,Esgueira,Esgueira
91,1540-01-21,1907-10-15,Vila Nova de Foz Côa,Vila Nova de Foz Côa
91,1575-00-00,1907-10-01,Ílhavo,Ílhavo
89,1537-07-03,1819-07-19,Bemposta,Bemposta
89,1585-10-02,1899-10-15,Matosinhos,Matosinhos
88,1706-11-23,1909-10-04,Penafiel,Penafiel
86,1540-00-00,1799-10-03,Tancos,Tancos
85,1552-10-00,1739-01-16,Penalva,Penalva
84,1693-03-01,1909-10-07,Mangualde,Mangualde
84,1537-12-18,1893-10-09,Viana do Alentejo,Viana do Alentejo
82,1591-10-01,1818-10-12,Arrancada,Arrancada
